date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth
20000127,0.0,8.1,74.0,10.8,0.8,-3.5,0.0,102970.0,0.0
20000128,7.0,0.1,20.0,13.5,4.5,-1.8,2.2,101480.0,0.0
20000129,7.0,3.3,49.0,12.9,8.4,3.4,0.0,100030.0,0.0
20000130,7.0,0.3,24.0,12.7,11.6,10.4,0.0,101290.0,0.0
20000131,7.0,0.3,25.0,10.7,11.5,10.3,0.0,102010.0,0.0
20000201,8.0,0.0,19.0,10.6,9.9,9.1,9.8,101520.0,0.0
20000202,4.0,6.9,74.0,9.3,8.2,5.8,0.0,102110.0,0.0
20000203,7.0,0.5,28.0,11.0,6.0,2.7,0.0,103320.0,0.0
20000204,7.0,0.0,20.0,11.6,7.8,4.7,0.0,103190.0,0.0
20000205,7.0,1.8,42.0,12.1,9.4,7.3,0.0,102630.0,0.0
20000206,8.0,0.1,24.0,11.0,9.6,7.2,1.8,101590.0,0.0
20000207,6.0,0.0,21.0,13.8,8.0,5.0,3.8,101040.0,0.0
20000208,5.0,3.6,59.0,10.6,10.4,7.0,2.2,100610.0,0.0
20000209,5.0,2.6,52.0,10.1,6.8,2.9,0.6,102220.0,0.0
20000210,5.0,2.0,48.0,10.4,8.0,5.9,3.0,101550.0,0.0
20000211,3.0,6.2,80.0,9.6,5.2,-0.1,3.8,102720.0,0.0
20000212,6.0,3.4,61.0,9.9,6.4,3.2,0.8,101780.0,0.0
20000213,3.0,8.5,97.0,10.2,7.4,4.8,0.0,102020.0,0.0
20000214,5.0,1.2,43.0,8.6,4.6,-1.1,1.8,101950.0,0.0
20000215,6.0,2.2,53.0,8.0,5.4,2.3,1.2,101320.0,0.0
20000216,3.0,7.8,97.0,9.6,4.7,1.4,0.0,100430.0,0.0
20000217,6.0,7.2,94.0,11.0,6.0,2.3,2.2,101050.0,0.0
20000218,6.0,3.5,68.0,9.1,7.0,3.1,0.2,100280.0,0.0
20000219,5.0,5.2,82.0,8.7,7.6,6.1,0.2,101530.0,0.0
20000220,4.0,8.2,105.0,10.0,3.8,-1.0,0.6,102960.0,0.0
20000221,6.0,5.9,90.0,9.5,5.8,1.5,0.0,102660.0,0.0
20000222,6.0,3.7,73.0,11.7,4.6,-0.3,0.0,102380.0,0.0
20000223,8.0,0.1,32.0,11.2,7.8,3.9,0.0,102050.0,0.0
20000224,8.0,1.5,54.0,10.0,9.4,7.6,16.8,102040.0,0.0
20000225,2.0,9.3,121.0,10.6,6.1,2.2,0.0,102750.0,0.0
20000226,6.0,6.4,101.0,13.0,5.2,-0.3,0.0,102870.0,0.0
20000227,8.0,0.0,31.0,10.4,8.6,4.2,5.2,101560.0,0.0
20000228,5.0,4.6,88.0,10.1,8.6,6.8,2.6,100980.0,0.0
20000229,7.0,0.1,35.0,9.3,7.8,5.5,5.6,100080.0,0.0
20000301,3.0,6.9,121.0,11.2,5.4,1.6,0.2,100990.0,0.0
20000302,7.0,0.1,40.0,10.8,5.8,0.3,7.2,101640.0,0.0
20000303,6.0,5.9,115.0,7.8,8.0,5.2,0.2,100740.0,0.0
20000304,3.0,9.1,145.0,10.4,4.3,0.8,0.0,102710.0,0.0
20000305,6.0,6.0,119.0,11.5,5.0,-0.3,0.0,103220.0,0.0
20000306,8.0,0.0,38.0,13.8,8.2,4.9,0.0,102670.0,0.0
20000307,7.0,2.0,76.0,14.6,11.0,8.2,0.0,102360.0,0.0
20000308,7.0,0.0,39.0,16.6,12.4,10.3,0.0,102250.0,0.0
20000309,7.0,3.1,93.0,14.2,13.9,11.2,0.0,102540.0,0.0
20000310,7.0,2.7,89.0,13.6,12.5,10.8,0.0,102650.0,0.0
20000311,7.0,5.7,125.0,14.5,10.5,7.4,0.0,102240.0,0.0
20000312,5.0,8.9,158.0,15.0,8.7,2.9,0.0,102640.0,0.0
20000313,6.0,1.0,67.0,13.0,10.0,4.9,0.0,102630.0,0.0
20000314,7.0,2.2,87.0,12.7,10.8,8.5,0.0,102480.0,0.0
20000315,2.0,9.9,173.0,12.2,7.6,2.6,0.0,103400.0,0.0
20000316,6.0,0.1,49.0,10.6,8.0,3.9,0.0,103440.0,0.0
20000317,8.0,0.0,45.0,10.8,9.4,8.3,0.0,103420.0,0.0
20000318,5.0,6.8,147.0,12.5,9.2,7.5,0.0,103590.0,0.0
20000319,4.0,8.8,170.0,13.9,7.5,2.5,0.0,103620.0,0.0
20000320,6.0,2.3,94.0,14.3,7.8,1.7,0.0,103020.0,0.0
20000321,5.0,7.5,160.0,15.5,9.0,3.7,0.0,102220.0,0.0
20000322,6.0,4.4,125.0,14.8,9.5,3.5,0.0,101640.0,0.0
20000323,8.0,0.0,49.0,14.1,10.0,5.3,1.6,101030.0,0.0
20000324,6.0,5.0,136.0,12.3,10.9,7.7,0.2,100640.0,0.0
20000325,4.0,6.7,157.0,11.2,9.1,5.9,2.6,100960.0,0.0
20000326,4.0,6.5,157.0,10.2,6.4,1.6,0.8,100760.0,0.0
20000327,6.0,6.1,153.0,8.2,7.1,4.0,2.0,101450.0,0.0
20000328,7.0,0.3,64.0,7.1,6.2,4.3,1.2,102100.0,0.0
20000329,8.0,0.0,53.0,8.2,5.4,3.7,0.0,101770.0,0.0
20000330,8.0,0.0,53.0,10.0,6.6,5.0,0.0,101470.0,0.0
20000331,7.0,2.4,108.0,11.8,7.5,5.0,0.0,100740.0,0.0
20000401,7.0,2.8,115.0,13.7,6.8,1.7,0.6,100090.0,0.0
20000402,8.0,0.6,75.0,9.1,10.4,7.1,16.0,99700.0,0.0
20000403,8.0,0.0,56.0,6.0,8.6,8.2,17.2,98940.0,0.0
20000404,8.0,0.0,56.0,10.1,4.0,1.9,1.2,99880.0,0.0
20000405,6.0,5.9,164.0,10.9,6.4,2.7,0.0,101690.0,0.0
20000406,1.0,12.0,237.0,14.9,5.8,0.7,0.0,103040.0,0.0
20000407,2.0,10.9,226.0,17.3,8.6,2.3,0.0,103260.0,0.0
20000408,4.0,11.2,232.0,14.7,9.6,2.0,3.6,102330.0,0.0
20000409,5.0,9.6,215.0,12.4,10.6,6.4,0.0,101420.0,0.0
20000410,2.0,10.6,228.0,7.1,8.0,3.6,0.6,101410.0,0.0
20000411,7.0,0.0,61.0,6.6,5.2,3.4,6.0,99310.0,0.0
20000412,8.0,0.0,61.0,9.2,4.2,1.8,6.4,98410.0,0.0
20000413,7.0,2.2,117.0,10.2,6.4,3.6,1.8,99090.0,0.0
20000414,7.0,1.0,94.0,8.4,7.1,4.0,11.8,99930.0,0.0
20000415,8.0,0.0,63.0,12.8,5.8,3.2,1.8,99450.0,0.0
20000416,5.0,7.7,202.0,11.9,6.6,0.3,2.6,99560.0,0.0
20000417,5.0,4.9,165.0,12.2,9.1,6.3,5.6,99330.0,0.0
20000418,7.0,0.6,87.0,16.1,9.0,5.8,5.2,100160.0,0.0
20000419,6.0,9.2,225.0,14.0,11.4,6.7,2.4,100640.0,0.0
20000420,8.0,0.3,80.0,15.5,12.1,10.2,2.0,100570.0,0.0
20000421,6.0,5.1,172.0,15.8,11.8,8.2,0.8,100960.0,0.0
20000422,6.0,6.9,199.0,14.3,11.5,7.2,0.0,100780.0,0.0
20000423,6.0,1.6,114.0,15.3,10.2,6.1,0.2,101050.0,0.0
20000424,6.0,5.9,187.0,16.1,10.6,5.8,5.0,101060.0,0.0
20000425,7.0,1.1,104.0,15.2,13.0,10.0,3.8,100520.0,0.0
20000426,7.0,4.8,173.0,16.0,12.3,9.4,0.2,100520.0,0.0
20000427,6.0,3.3,149.0,13.3,11.4,6.8,0.0,100930.0,0.0
20000428,8.0,0.0,70.0,18.7,11.6,10.0,4.8,100780.0,0.0
20000429,3.0,13.3,289.0,16.6,13.9,9.1,0.0,101480.0,0.0
20000430,6.0,4.3,168.0,16.6,11.6,6.5,0.0,102230.0,0.0
20000501,5.0,5.0,181.0,14.6,12.0,7.5,0.0,102420.0,0.0
20000502,6.0,4.0,166.0,11.2,11.6,8.6,0.2,102570.0,0.0
20000503,8.0,0.0,72.0,12.6,9.7,8.2,0.0,102430.0,0.0
20000504,7.0,0.1,80.0,20.5,10.4,8.2,0.0,102250.0,0.0
20000505,6.0,10.0,256.0,24.1,14.0,7.4,0.0,101640.0,0.0
20000506,5.0,11.1,271.0,23.3,16.4,8.6,0.0,101250.0,0.0
20000507,6.0,7.6,225.0,19.4,18.0,12.7,0.0,101450.0,0.0
20000508,6.0,3.9,169.0,23.4,15.0,10.5,0.2,101740.0,0.0
20000509,5.0,7.3,223.0,17.9,17.8,12.3,0.0,101780.0,0.0
20000510,7.0,0.8,106.0,17.8,15.4,13.0,4.6,101780.0,0.0
20000511,7.0,3.7,167.0,19.5,14.4,10.9,2.6,101840.0,0.0
20000512,7.0,4.1,175.0,24.9,14.0,8.5,0.0,102070.0,0.0
20000513,5.0,9.3,254.0,25.3,19.0,13.0,0.0,102150.0,0.0
20000514,5.0,13.4,308.0,26.6,18.9,12.5,2.4,102240.0,0.0
20000515,6.0,12.6,299.0,22.5,21.0,15.4,0.0,101730.0,0.0
20000516,4.0,11.5,286.0,15.9,18.8,15.2,0.0,101040.0,0.0
20000517,7.0,4.0,176.0,15.5,13.5,11.1,4.2,100910.0,0.0
20000518,5.0,8.2,243.0,14.3,11.4,7.2,4.4,100690.0,0.0
20000519,6.0,7.1,227.0,15.8,11.8,9.2,2.0,100850.0,0.0
20000520,5.0,6.4,217.0,16.0,10.4,5.1,11.6,101220.0,0.0
20000521,7.0,4.8,192.0,18.6,12.2,8.3,1.8,100780.0,0.0
20000522,5.0,12.1,298.0,14.3,13.2,7.8,0.0,101490.0,0.0
20000523,8.0,0.0,80.0,16.2,13.0,11.6,2.2,101310.0,0.0
20000524,7.0,3.8,176.0,16.8,12.9,9.6,8.6,101190.0,0.0
20000525,4.0,12.2,302.0,12.8,13.0,9.2,0.2,101090.0,0.0
20000526,8.0,0.0,81.0,14.8,11.6,10.4,18.8,100810.0,0.0
20000527,6.0,10.2,276.0,15.6,10.9,7.0,19.0,100570.0,0.0
20000528,7.0,6.4,221.0,17.4,10.8,5.9,3.0,100180.0,0.0
20000529,4.0,12.5,308.0,15.7,11.8,6.2,0.0,101320.0,0.0
20000530,6.0,2.3,149.0,19.0,12.5,9.3,0.0,101330.0,0.0
20000531,6.0,8.5,254.0,16.8,12.6,6.3,1.4,101830.0,0.0
20000601,8.0,3.3,171.0,18.8,14.6,12.3,0.0,101630.0,0.0
20000602,7.0,0.4,101.0,22.9,15.8,12.9,0.0,101770.0,0.0
20000603,7.0,8.9,262.0,18.1,17.5,12.1,0.0,101660.0,0.0
20000604,5.0,7.4,241.0,16.1,14.7,11.3,0.0,101690.0,0.0
20000605,7.0,0.1,88.0,18.9,13.4,10.6,0.0,101910.0,0.0
20000606,4.0,7.4,241.0,20.6,14.4,9.8,0.0,102020.0,0.0
20000607,5.0,11.4,297.0,22.4,14.6,8.7,0.0,102370.0,0.0
20000608,5.0,11.0,292.0,17.8,17.4,12.5,0.2,101430.0,0.0
20000609,5.0,4.1,188.0,20.3,16.1,14.4,4.2,100890.0,0.0
20000610,5.0,13.0,318.0,19.3,14.4,8.6,0.0,101690.0,0.0
20000611,6.0,8.9,264.0,25.1,15.3,11.3,0.0,101840.0,0.0
20000612,5.0,12.1,307.0,22.6,18.6,12.1,0.0,102370.0,0.0
20000613,7.0,5.8,218.0,22.5,18.5,14.4,0.0,102450.0,0.0
20000614,8.0,1.3,130.0,20.1,18.8,15.2,0.0,102340.0,0.0
20000615,7.0,0.8,116.0,22.3,17.6,15.0,0.0,102550.0,0.0
20000616,6.0,1.0,122.0,25.9,18.3,14.3,0.0,102690.0,0.0
20000617,2.0,13.2,321.0,30.8,19.5,13.1,0.0,102630.0,0.0
20000618,1.0,15.1,345.0,31.4,23.2,15.6,0.0,102170.0,0.0
20000619,3.0,12.8,317.0,21.6,25.4,19.4,0.0,101460.0,0.0
20000620,7.0,0.2,95.0,19.5,18.5,15.4,3.8,101240.0,0.0
20000621,6.0,5.2,208.0,19.0,17.5,15.5,0.0,100940.0,0.0
20000622,7.0,4.4,194.0,19.7,16.2,13.4,2.4,101070.0,0.0
20000623,6.0,3.2,172.0,16.1,16.2,12.7,0.0,101610.0,0.0
20000624,6.0,0.1,89.0,18.0,12.3,8.5,0.0,101830.0,0.0
20000625,7.0,3.2,172.0,19.9,14.0,10.1,0.0,102190.0,0.0
20000626,6.0,3.9,185.0,21.9,16.2,12.5,0.0,102490.0,0.0
20000627,6.0,8.7,261.0,20.9,16.6,11.2,0.0,102310.0,0.0
20000628,7.0,1.4,132.0,20.3,17.0,13.2,0.0,102080.0,0.0
20000629,7.0,0.1,89.0,20.8,17.4,14.5,8.2,102010.0,0.0
20000630,7.0,1.1,124.0,20.9,17.2,13.6,0.4,101470.0,0.0
20000701,6.0,3.0,167.0,22.3,17.6,14.4,0.2,100930.0,0.0
20000702,6.0,3.0,167.0,23.3,17.6,13.0,0.2,101010.0,0.0
20000703,7.0,5.8,216.0,18.3,18.8,14.2,0.0,100940.0,0.0
20000704,8.0,0.0,80.0,17.1,16.8,15.4,17.0,100740.0,0.0
20000705,8.0,0.0,80.0,22.7,15.4,13.7,0.0,101330.0,0.0
20000706,7.0,3.7,179.0,17.9,17.6,12.6,0.4,101810.0,0.0
20000707,6.0,4.0,184.0,17.9,15.7,13.5,0.0,101870.0,0.0
20000708,7.0,1.4,130.0,19.1,14.7,11.5,0.6,101670.0,0.0
20000709,8.0,1.1,122.0,16.1,16.4,13.8,9.0,99820.0,0.0
20000710,7.0,1.3,127.0,16.3,14.0,11.8,10.4,99340.0,0.0
20000711,5.0,5.0,200.0,18.7,13.0,9.6,0.0,100670.0,0.0
20000712,7.0,3.0,164.0,20.9,13.1,7.5,4.2,101470.0,0.0
20000713,7.0,2.7,158.0,16.9,17.2,13.6,4.8,101130.0,0.0
20000714,6.0,0.7,109.0,18.1,14.9,12.9,0.0,101190.0,0.0
20000715,4.0,7.4,236.0,18.2,13.6,9.1,0.0,101610.0,0.0
20000716,6.0,7.6,238.0,22.6,14.0,9.8,0.0,101950.0,0.0
20000717,5.0,11.7,293.0,24.7,16.2,9.8,0.0,102000.0,0.0
20000718,4.0,10.7,279.0,25.2,17.8,10.9,0.0,102060.0,0.0
20000719,2.0,14.6,326.0,25.3,19.1,13.0,0.0,102100.0,0.0
20000720,3.0,11.7,290.0,25.9,20.1,14.9,0.0,102290.0,0.0
20000721,1.0,14.4,322.0,21.6,20.2,14.4,0.0,102510.0,0.0
20000722,5.0,9.5,260.0,19.0,17.2,12.9,0.0,102200.0,0.0
20000723,8.0,0.8,109.0,17.2,15.9,12.8,0.0,101590.0,0.0
20000724,8.0,0.1,83.0,19.0,15.0,12.9,0.0,101020.0,0.0
20000725,7.0,0.7,105.0,23.4,15.9,12.8,0.0,100820.0,0.0
20000726,6.0,8.6,245.0,25.0,18.6,13.9,0.0,101010.0,0.0
20000727,6.0,7.5,229.0,20.9,20.0,15.1,0.0,101290.0,0.0
20000728,6.0,4.5,182.0,24.9,17.7,14.5,5.8,101400.0,0.0
20000729,5.0,9.0,248.0,24.8,19.2,13.4,0.2,101700.0,0.0
20000730,4.0,9.5,254.0,25.3,19.2,13.7,0.0,102190.0,0.0
20000731,5.0,11.7,280.0,24.5,20.7,16.1,0.0,102150.0,0.0
20000801,4.0,8.8,242.0,23.5,19.6,14.8,0.0,101700.0,0.0
20000802,4.0,7.8,228.0,19.7,18.2,13.0,4.2,101390.0,0.0
20000803,7.0,3.1,154.0,22.4,17.4,15.0,5.8,101440.0,0.0
20000804,6.0,8.0,229.0,24.2,18.5,14.6,0.0,102290.0,0.0
20000805,5.0,8.5,234.0,24.7,18.2,12.2,0.0,102490.0,0.0
20000806,5.0,4.1,169.0,23.0,20.4,16.0,0.0,102460.0,0.0
20000807,7.0,2.0,130.0,22.6,20.2,17.4,0.0,102420.0,0.0
20000808,6.0,2.8,145.0,23.9,19.4,16.2,5.6,102130.0,0.0
20000809,6.0,3.9,163.0,25.4,19.2,14.5,0.0,101870.0,0.0
20000810,6.0,6.1,196.0,24.9,21.0,16.5,0.0,101600.0,0.0
20000811,5.0,7.4,213.0,27.4,20.1,15.3,0.0,101560.0,0.0
20000812,2.0,12.8,278.0,23.6,20.4,13.4,0.0,101390.0,0.0
20000813,7.0,0.9,100.0,23.7,19.4,15.1,1.0,101530.0,0.0
20000814,7.0,1.4,112.0,24.4,20.8,17.9,0.0,101550.0,0.0
20000815,5.0,8.2,219.0,23.1,19.4,14.3,0.0,101860.0,0.0
20000816,6.0,7.9,214.0,23.1,18.9,14.7,0.1,101360.0,0.0
20000817,5.0,8.1,215.0,19.9,18.9,14.7,2.4,101160.0,0.0
20000818,6.0,0.1,71.0,23.2,16.6,13.2,0.6,101150.0,0.0
20000819,6.0,10.7,244.0,21.7,18.7,14.2,0.0,101030.0,0.0
20000820,5.0,6.4,189.0,22.2,17.0,12.4,0.0,101300.0,0.0
20000821,2.0,11.6,251.0,22.7,16.2,10.3,0.0,101440.0,0.0
20000822,5.0,8.0,207.0,23.9,16.6,10.6,0.0,101930.0,0.0
20000823,1.0,13.1,264.0,27.0,18.6,13.3,0.0,102320.0,0.0
20000824,1.0,12.4,255.0,26.2,19.9,12.8,0.0,102340.0,0.0
20000825,3.0,10.9,237.0,19.7,20.4,14.7,2.2,101870.0,0.0
20000826,6.0,0.0,60.0,21.8,19.0,18.3,3.8,100990.0,0.0
20000827,5.0,4.5,154.0,20.1,17.5,13.2,3.8,101460.0,0.0
20000828,6.0,7.7,195.0,21.8,15.8,11.6,1.2,101770.0,0.0
20000829,5.0,8.4,202.0,22.2,16.0,10.3,0.0,101970.0,0.0
20000830,4.0,9.5,213.0,22.6,17.6,13.0,0.0,101900.0,0.0
20000831,6.0,6.3,174.0,18.9,16.6,10.5,1.6,101070.0,0.0
20000901,6.0,2.7,117.0,19.9,16.0,13.0,4.6,100140.0,0.0
20000902,6.0,4.2,137.0,18.6,15.8,11.7,0.8,100770.0,0.0
20000903,4.0,9.8,202.0,20.5,14.0,9.4,0.0,101970.0,0.0
20000904,4.0,11.0,212.0,20.4,13.7,6.9,0.0,102380.0,0.0
20000905,7.0,1.6,95.0,20.7,15.6,10.9,0.4,102030.0,0.0
20000906,6.0,4.8,141.0,20.3,17.4,14.1,0.8,101140.0,0.0
20000907,7.0,0.7,75.0,20.2,14.4,8.6,0.0,101520.0,0.0
20000908,8.0,0.0,52.0,22.3,17.6,15.0,4.4,101800.0,0.0
20000909,7.0,2.2,101.0,25.6,19.0,15.6,0.2,102290.0,0.0
20000910,3.0,11.0,202.0,27.5,20.2,14.8,0.0,102190.0,0.0
20000911,4.0,9.7,187.0,24.0,21.6,15.6,0.0,101440.0,0.0
20000912,5.0,6.7,155.0,21.0,20.0,16.0,0.0,101100.0,0.0
20000913,7.0,2.9,107.0,21.6,17.4,13.9,0.0,101340.0,0.0
20000914,7.0,3.0,107.0,18.5,17.0,12.4,11.0,101370.0,0.0
20000915,7.0,1.3,80.0,18.2,17.2,16.0,19.6,100680.0,0.0
20000916,7.0,0.9,72.0,20.6,15.8,13.4,0.0,101130.0,0.0
20000917,6.0,0.9,71.0,16.8,16.2,11.7,0.0,101120.0,0.0
20000918,8.0,0.0,46.0,15.6,15.2,13.6,13.8,100150.0,0.0
20000919,8.0,0.0,45.0,16.9,13.8,11.9,16.4,99640.0,0.0
20000920,4.0,3.5,107.0,18.6,13.6,10.4,0.4,100250.0,0.0
20000921,4.0,2.9,98.0,21.5,12.9,7.2,1.0,101260.0,0.0
20000922,7.0,8.5,157.0,24.8,17.9,14.3,0.0,101750.0,0.0
20000923,4.0,10.6,174.0,16.8,19.4,14.1,0.0,101760.0,0.0
20000924,5.0,1.3,72.0,18.5,15.2,13.6,11.0,101420.0,0.0
20000925,5.0,4.7,114.0,20.7,14.6,10.7,6.8,101870.0,0.0
20000926,5.0,4.3,109.0,18.2,16.4,12.1,0.4,101380.0,0.0
20000927,5.0,3.3,96.0,18.4,15.0,11.7,5.4,100970.0,0.0
20000928,6.0,5.8,122.0,18.9,15.8,13.2,3.4,99850.0,0.0
20000929,7.0,7.1,132.0,17.9,15.2,11.5,0.0,99860.0,0.0
20000930,4.0,6.7,127.0,18.6,15.1,12.3,5.4,100400.0,0.0
20001001,5.0,6.7,126.0,15.3,13.2,7.7,10.0,100430.0,0.0
20001002,6.0,0.3,47.0,16.4,12.6,9.9,0.2,100690.0,0.0
20001003,8.0,0.0,37.0,16.3,12.4,8.5,0.8,101670.0,0.0
20001004,7.0,4.0,95.0,15.7,14.5,12.7,0.2,101790.0,0.0
20001005,4.0,7.3,125.0,15.1,13.4,11.1,0.8,101720.0,0.0
20001006,4.0,8.6,134.0,13.2,10.2,5.4,5.0,102570.0,0.0
20001007,8.0,0.0,35.0,15.6,11.2,9.1,8.6,102070.0,0.0
20001008,6.0,6.1,110.0,12.4,12.6,9.5,0.0,101430.0,0.0
20001009,6.0,0.5,47.0,13.3,9.0,5.6,24.0,100110.0,0.0
20001010,6.0,3.5,83.0,14.3,9.8,6.3,8.8,98310.0,0.0
20001011,6.0,5.1,97.0,13.5,10.5,6.7,3.8,97230.0,0.0
20001012,6.0,1.1,54.0,16.0,10.8,8.0,4.2,98830.0,0.0
20001013,5.0,4.2,86.0,13.9,11.2,6.4,0.0,100780.0,0.0
20001014,7.0,0.0,31.0,15.6,11.0,8.2,0.0,101530.0,0.0
20001015,7.0,4.7,88.0,13.9,11.7,7.8,2.8,101280.0,0.0
20001016,7.0,0.1,34.0,14.9,12.4,10.8,1.6,100670.0,0.0
20001017,4.0,7.2,105.0,16.3,10.0,5.1,5.0,102080.0,0.0
20001018,8.0,0.1,33.0,15.2,12.8,9.4,1.0,101470.0,0.0
20001019,2.0,9.2,116.0,14.1,11.4,7.6,0.0,101780.0,0.0
20001020,6.0,0.1,32.0,11.5,10.6,7.0,20.2,101340.0,0.0
20001021,8.0,0.0,27.0,14.3,11.0,10.4,0.2,101730.0,0.0
20001022,6.0,0.3,35.0,16.0,12.0,9.6,0.0,102240.0,0.0
20001023,5.0,4.0,73.0,14.2,12.7,9.4,0.2,101530.0,0.0
20001024,7.0,0.0,26.0,15.3,12.0,9.7,0.2,101690.0,0.0
20001025,7.0,2.2,55.0,14.5,13.2,11.0,0.0,100740.0,0.0
20001026,4.0,6.3,86.0,15.4,10.8,7.1,3.0,101430.0,0.0
20001027,8.0,0.0,25.0,16.0,12.4,9.5,9.0,101170.0,0.0
20001028,7.0,0.0,24.0,13.4,13.9,11.8,7.2,100370.0,0.0
20001029,5.0,5.4,77.0,11.3,10.6,7.8,36.6,99920.0,0.0
20001030,6.0,4.4,69.0,13.3,10.0,8.6,1.6,98130.0,0.0
20001031,6.0,6.6,82.0,11.6,9.8,6.3,0.4,98970.0,0.0
20001101,4.0,6.9,83.0,10.9,9.3,7.0,6.0,99440.0,0.0
20001102,5.0,3.2,57.0,11.4,7.2,3.6,5.2,98750.0,0.0
20001103,3.0,6.2,76.0,11.4,8.6,5.7,0.0,99350.0,0.0
20001104,3.0,6.8,79.0,10.9,7.2,2.9,0.0,100630.0,0.0
20001105,7.0,1.0,36.0,11.0,6.7,2.5,24.8,99760.0,0.0
20001106,7.0,0.2,25.0,10.7,9.0,7.0,5.4,97150.0,0.0
20001107,7.0,1.0,35.0,9.2,9.2,7.7,1.0,97680.0,0.0
20001108,7.0,0.1,23.0,10.2,7.8,6.4,0.0,98850.0,0.0
20001109,6.0,0.2,24.0,12.1,8.2,6.1,0.0,100290.0,0.0
20001110,5.0,5.9,67.0,12.8,7.9,3.7,0.8,101370.0,0.0
20001111,8.0,0.0,19.0,11.1,9.0,5.3,8.8,100640.0,0.0
20001112,4.0,5.0,60.0,10.8,9.7,8.3,0.2,99560.0,0.0
20001113,1.0,7.6,73.0,8.7,6.6,2.4,0.2,99740.0,0.0
20001114,4.0,5.4,61.0,10.2,5.0,1.2,0.4,100260.0,0.0
20001115,6.0,0.5,26.0,10.4,4.5,-1.2,5.6,100770.0,0.0
20001116,4.0,4.5,54.0,9.4,5.7,1.0,0.1,100290.0,0.0
20001117,4.0,2.5,41.0,11.9,4.9,0.4,0.0,101100.0,0.0
20001118,7.0,1.0,29.0,10.9,7.0,2.2,3.2,100640.0,0.0
20001119,7.0,1.1,30.0,7.0,9.0,7.2,0.8,99530.0,0.0
20001120,5.0,2.5,40.0,10.1,4.5,2.0,0.2,99570.0,0.0
20001121,7.0,0.4,23.0,10.9,7.0,3.8,4.6,99360.0,0.0
20001122,3.0,3.4,44.0,8.4,7.4,4.0,0.2,99420.0,0.0
20001123,6.0,0.0,16.0,11.0,5.8,3.3,5.4,99820.0,0.0
20001124,5.0,3.3,43.0,11.6,6.8,2.7,1.4,100410.0,0.0
20001125,6.0,0.0,15.0,10.5,8.3,5.0,6.8,99460.0,0.0
20001126,5.0,4.9,50.0,14.0,8.9,7.3,0.0,99550.0,0.0
20001127,6.0,0.0,15.0,15.6,8.8,3.7,9.0,100820.0,0.0
20001128,7.0,0.0,15.0,14.2,11.5,7.4,1.2,100620.0,0.0
20001129,6.0,0.2,18.0,12.2,12.1,10.0,0.8,100240.0,0.0
20001130,5.0,1.1,26.0,13.7,9.2,6.3,7.4,100900.0,0.0
20001201,7.0,0.0,13.0,12.9,11.3,8.9,1.6,100190.0,0.0
20001202,4.0,3.8,39.0,11.3,11.2,9.6,0.2,100870.0,0.0
20001203,4.0,5.2,46.0,13.8,7.5,3.7,7.2,101300.0,0.0
